Team ID,Team,Week,Player,Position,Points
2,Show Me Your TDs,1,Christian McCaffrey,RB,15.700000000000001
2,Show Me Your TDs,1,Deebo Samuel,WR,12.6
2,Show Me Your TDs,1,Keenan Allen,WR,10.600000000000001
2,Show Me Your TDs,1,David Montgomery,RB,8.0
2,Show Me Your TDs,1,Patrick Mahomes,QB,34.9
2,Show Me Your TDs,1,Gabe Davis,WR,18.8
2,Show Me Your TDs,1,Dalton Schultz,TE,13.2
2,Show Me Your TDs,1,Buccaneers D/ST,DEF,12.0
2,Show Me Your TDs,1,Daniel Carlson,K,9.0
2,Show Me Your TDs,1,,Total Points,134.8
10,Stay off the  Weidhaas,1,Dalvin Cook,RB,13.8
10,Stay off the  Weidhaas,1,Stefon Diggs,WR,26.200000000000003
10,Stay off the  Weidhaas,1,Mike Evans,WR,18.1
10,Stay off the  Weidhaas,1,Josh Jacobs,RB,8.3
10,Stay off the  Weidhaas,1,DK Metcalf,WR,8.6
10,Stay off the  Weidhaas,1,Aaron Rodgers,QB,3.7
10,Stay off the  Weidhaas,1,Mike Gesicki,TE,1.1
10,Stay off the  Weidhaas,1,Tyler Bass,K,8.0
10,Stay off the  Weidhaas,1,Steelers D/ST,DEF,22.0
10,Stay off the  Weidhaas,1,,Total Points,109.8
5,Thou Shenault Win ,1,Najee Harris,RB,10.600000000000001
5,Thou Shenault Win ,1,Leonard Fournette,RB,15.700000000000001
5,Thou Shenault Win ,1,DJ Moore,WR,8.0
5,Thou Shenault Win ,1,Tee Higgins,WR,4.7
5,Thou Shenault Win ,1,Brandin Cooks,WR,15.200000000000001
5,Thou Shenault Win ,1,Tom Brady,QB,10.38
5,Thou Shenault Win ,1,Dallas Goedert,TE,9.0
5,Thou Shenault Win ,1,Dolphins D/ST,DEF,19.0
5,Thou Shenault Win ,1,Ryan Succop,K,14.0
5,Thou Shenault Win ,1,,Total Points,106.58
1,The Good Lookin Kitchen,1,Austin Ekeler,RB,11.2
1,The Good Lookin Kitchen,1,Justin Jefferson,WR,39.400000000000006
1,The Good Lookin Kitchen,1,Saquon Barkley,RB,33.400000000000006
1,The Good Lookin Kitchen,1,A.J. Brown,WR,25.5
1,The Good Lookin Kitchen,1,Darren Waller,TE,11.9
1,The Good Lookin Kitchen,1,Darnell Mooney,WR,1.8
1,The Good Lookin Kitchen,1,Trey Lance,QB,9.96
1,The Good Lookin Kitchen,1,Nick Folk,K,1.0
1,The Good Lookin Kitchen,1,Saints D/ST,DEF,3.0
1,The Good Lookin Kitchen,1,,Total Points,137.16
6,Michael Canter,1,Tyreek Hill,WR,18.0
6,Michael Canter,1,Ja'Marr Chase,WR,28.9
6,Michael Canter,1,Nick Chubb,RB,15.3
6,Michael Canter,1,Mike Williams,WR,3.0
6,Michael Canter,1,Justin Herbert,QB,23.259999999999998
6,Michael Canter,1,Dawson Knox,TE,1.5
6,Michael Canter,1,James Cook,RB,-1.8
6,Michael Canter,1,Justin Tucker,K,6.0
6,Michael Canter,1,Ravens D/ST,DEF,9.0
6,Michael Canter,1,,Total Points,103.16
7,Green Bowl Packers,1,Travis Kelce,TE,26.1
7,Green Bowl Packers,1,Joe Mixon,RB,21.5
7,Green Bowl Packers,1,Javonte Williams,RB,19.8
7,Green Bowl Packers,1,Michael Pittman Jr.,WR,27.1
7,Green Bowl Packers,1,Jaylen Waddle,WR,17.700000000000003
7,Green Bowl Packers,1,Lamar Jackson,QB,20.22
7,Green Bowl Packers,1,Antonio Gibson,RB,20.0
7,Green Bowl Packers,1,49ers D/ST,DEF,6.0
7,Green Bowl Packers,1,Robbie Gould,K,4.0
7,Green Bowl Packers,1,,Total Points,162.42
3,Slim Pickens,1,Jonathan Taylor,RB,27.5
3,Slim Pickens,1,D'Andre Swift,RB,26.5
3,Slim Pickens,1,CeeDee Lamb,WR,4.9
3,Slim Pickens,1,Jerry Jeudy,WR,20.200000000000003
3,Slim Pickens,1,Josh Allen,QB,31.480000000000004
3,Slim Pickens,1,JuJu Smith-Schuster,WR,11.9
3,Slim Pickens,1,T.J. Hockenson,TE,7.800000000000001
3,Slim Pickens,1,Matt Gay,K,6.0
3,Slim Pickens,1,Cowboys D/ST,DEF,4.0
3,Slim Pickens,1,,Total Points,140.28
4,Alex Moran,1,Davante Adams,WR,30.1
4,Alex Moran,1,Derrick Henry,RB,8.200000000000001
4,Alex Moran,1,Kyle Pitts,TE,3.9000000000000004
4,Alex Moran,1,Kyler Murray,QB,20.62
4,Alex Moran,1,Allen Robinson II,WR,2.2
4,Alex Moran,1,Adam Thielen,WR,6.6
4,Alex Moran,1,Evan McPherson,K,7.0
4,Alex Moran,1,Bills D/ST,DEF,18.0
4,Alex Moran,1,Rashaad Penny,RB,8.7
4,Alex Moran,1,,Total Points,105.32
8,Old(er) Kitchen,1,Cooper Kupp,WR,31.8
8,Old(er) Kitchen,1,Aaron Jones,RB,10.600000000000001
8,Old(er) Kitchen,1,James Conner,RB,16.5
8,Old(er) Kitchen,1,Travis Etienne Jr.,RB,8.5
8,Old(er) Kitchen,1,Terry McLaurin,WR,13.8
8,Old(er) Kitchen,1,Russell Wilson,QB,17.8
8,Old(er) Kitchen,1,Zach Ertz,TE,11.4
8,Old(er) Kitchen,1,Brandon McManus,K,10.0
8,Old(er) Kitchen,1,Colts D/ST,DEF,7.0
8,Old(er) Kitchen,1,,Total Points,127.4
9,Trevor Howard,1,Alvin Kamara,RB,7.6000000000000005
9,Trevor Howard,1,Diontae Johnson,WR,12.5
9,Trevor Howard,1,Mark Andrews,TE,10.2
9,Trevor Howard,1,Ezekiel Elliott,RB,5.9
9,Trevor Howard,1,Courtland Sutton,WR,11.2
9,Trevor Howard,1,Amon-Ra St. Brown,WR,20.4
9,Trevor Howard,1,Jalen Hurts,QB,24.72
9,Trevor Howard,1,Harrison Butker,K,9.0
9,Trevor Howard,1,Patriots D/ST,DEF,4.0
9,Trevor Howard,1,,Total Points,105.52
1,The Good Lookin Kitchen,2,Austin Ekeler,RB,18.4
1,The Good Lookin Kitchen,2,Justin Jefferson,WR,10.8
1,The Good Lookin Kitchen,2,Saquon Barkley,RB,11.799999999999999
1,The Good Lookin Kitchen,2,A.J. Brown,WR,11.9
1,The Good Lookin Kitchen,2,Darren Waller,TE,17.0
1,The Good Lookin Kitchen,2,Trey Lance,QB,2.5
1,The Good Lookin Kitchen,2,Nick Folk,K,4.0
1,The Good Lookin Kitchen,2,Darrell Henderson Jr.,RB,10.7
1,The Good Lookin Kitchen,2,Packers D/ST,DEF,10.0
1,The Good Lookin Kitchen,2,,Total Points,97.1
7,Green Bowl Packers,2,Travis Kelce,TE,10.100000000000001
7,Green Bowl Packers,2,Joe Mixon,RB,11.299999999999999
7,Green Bowl Packers,2,Javonte Williams,RB,9.5
