Team ID,Team,Week,Player,Position,Points
3,Ted Spradley,1,DeAndre Hopkins,WR,29.1
3,Ted Spradley,1,Clyde Edwards-Helaire,RB,19.8
3,Ted Spradley,1,George Kittle,TE,9.3
3,Ted Spradley,1,Melvin Gordon III,RB,15.600000000000001
3,Ted Spradley,1,Russell Wilson,QB,31.78
3,Ted Spradley,1,A.J. Green,WR,10.100000000000001
3,Ted Spradley,1,Will Fuller V,WR,19.200000000000003
3,Ted Spradley,1,Harrison Butker,K,10.0
3,Ted Spradley,1,Patriots D/ST,DEF,12.0
3,Ted Spradley,1,,Total Points,156.88
10,Dillon Durden,1,Michael Thomas,WR,4.7
10,Dillon Durden,1,Chris Carson,RB,24.6
10,Dillon Durden,1,Lamar Jackson,QB,27.5
10,Dillon Durden,1,James Conner,RB,3.7
10,Dillon Durden,1,T.Y. Hilton,WR,9.3
10,Dillon Durden,1,Michael Gallup,WR,8.0
10,Dillon Durden,1,Evan Engram,TE,2.9
10,Dillon Durden,1,Justin Tucker,K,9.0
10,Dillon Durden,1,Bears D/ST,DEF,0.0
10,Dillon Durden,1,,Total Points,89.7
5,“minSHEWW!” bless you,1,Saquon Barkley,RB,12.6
5,“minSHEWW!” bless you,1,Todd Gurley II,RB,13.700000000000001
5,“minSHEWW!” bless you,1,Patrick Mahomes,QB,20.439999999999998
5,“minSHEWW!” bless you,1,Odell Beckham Jr.,WR,5.2
5,“minSHEWW!” bless you,1,Robert Woods,WR,17.9
5,“minSHEWW!” bless you,1,Jarvis Landry,WR,11.100000000000001
5,“minSHEWW!” bless you,1,Hunter Henry,TE,12.3
5,“minSHEWW!” bless you,1,Bills D/ST,DEF,10.0
5,“minSHEWW!” bless you,1,Ka'imi Fairbairn,K,1.0
5,“minSHEWW!” bless you,1,,Total Points,104.24
2,Show Me Your TDs,1,Christian McCaffrey,RB,28.500000000000004
2,Show Me Your TDs,1,Dalvin Cook,RB,21.8
2,Show Me Your TDs,1,DJ Moore,WR,9.4
2,Show Me Your TDs,1,Calvin Ridley,WR,33.9
2,Show Me Your TDs,1,Mark Andrews,TE,22.8
2,Show Me Your TDs,1,DJ Chark Jr.,WR,11.5
2,Show Me Your TDs,1,Vikings D/ST,DEF,-9.0
2,Show Me Your TDs,1,Robbie Gould,K,10.0
2,Show Me Your TDs,1,Ben Roethlisberger,QB,22.060000000000002
2,Show Me Your TDs,1,,Total Points,150.96
9,Trevor Howard,1,Alvin Kamara,RB,23.700000000000003
9,Trevor Howard,1,Julio Jones,WR,24.700000000000003
9,Trevor Howard,1,Kenyan Drake,RB,14.5
9,Trevor Howard,1,Deshaun Watson,QB,20.82
9,Trevor Howard,1,DK Metcalf,WR,19.5
9,Trevor Howard,1,Darren Waller,TE,10.5
9,Trevor Howard,1,Cooper Kupp,WR,8.0
9,Trevor Howard,1,Wil Lutz,K,10.0
9,Trevor Howard,1,49ers D/ST,DEF,1.0
9,Trevor Howard,1,,Total Points,132.72
6,Michael Canter,1,Tyreek Hill,WR,15.600000000000001
6,Michael Canter,1,Josh Jacobs,RB,35.9
6,Michael Canter,1,Joe Mixon,RB,6.1000000000000005
6,Michael Canter,1,JuJu Smith-Schuster,WR,24.9
6,Michael Canter,1,Rob Gronkowski,TE,3.1
6,Michael Canter,1,Matt Ryan,QB,23.9
6,Michael Canter,1,Stefon Diggs,WR,16.6
6,Michael Canter,1,Matt Prater,K,11.0
6,Michael Canter,1,Ravens D/ST,DEF,12.0
6,Michael Canter,1,,Total Points,149.1
4,Alex Moran,1,Davante Adams,WR,41.6
4,Alex Moran,1,Chris Godwin,WR,13.9
4,Alex Moran,1,Zach Ertz,TE,10.8
4,Alex Moran,1,Devin Singletary,RB,10.3
4,Alex Moran,1,Dak Prescott,QB,17.64
4,Alex Moran,1,Kareem Hunt,RB,12.1
4,Alex Moran,1,DeSean Jackson,WR,6.6000000000000005
4,Alex Moran,1,Greg Zuerlein,K,4.0
4,Alex Moran,1,Steelers D/ST,DEF,10.0
4,Alex Moran,1,,Total Points,126.94
1,Gardner WIN-shew,1,Austin Ekeler,RB,9.700000000000001
1,Gardner WIN-shew,1,Derrick Henry,RB,16.1
1,Gardner WIN-shew,1,Tyler Lockett,WR,17.200000000000003
1,Gardner WIN-shew,1,Keenan Allen,WR,7.7
1,Gardner WIN-shew,1,David Johnson,RB,19.9
1,Gardner WIN-shew,1,Noah Fant,TE,19.1
1,Gardner WIN-shew,1,Gardner Minshew II,QB,20.82
1,Gardner WIN-shew,1,Broncos D/ST,DEF,3.0
1,Gardner WIN-shew,1,Chris Boswell,K,9.0
1,Gardner WIN-shew,1,,Total Points,122.52
7,Green Bowl Packers,1,Ezekiel Elliott,RB,27.700000000000003
7,Green Bowl Packers,1,Travis Kelce,TE,17.0
7,Green Bowl Packers,1,Adam Thielen,WR,31.0
7,Green Bowl Packers,1,Allen Robinson II,WR,12.3
7,Green Bowl Packers,1,A.J. Brown,WR,8.9
7,Green Bowl Packers,1,Mark Ingram II,RB,2.9000000000000004
7,Green Bowl Packers,1,Eagles D/ST,DEF,5.0
7,Green Bowl Packers,1,Jake Elliott,K,4.0
7,Green Bowl Packers,1,Carson Wentz,QB,13.0
7,Green Bowl Packers,1,,Total Points,121.8
8,Old(er) Kitchen,1,Nick Chubb,RB,5.6
8,Old(er) Kitchen,1,Aaron Jones,RB,17.6
8,Old(er) Kitchen,1,Amari Cooper,WR,18.1
8,Old(er) Kitchen,1,Jonathan Taylor,RB,14.899999999999999
8,Old(er) Kitchen,1,Terry McLaurin,WR,11.100000000000001
8,Old(er) Kitchen,1,Drew Brees,QB,14.4
8,Old(er) Kitchen,1,Jared Cook,TE,13.0
8,Old(er) Kitchen,1,Colts D/ST,DEF,6.0
8,Old(er) Kitchen,1,Rodrigo Blankenship,K,7.0
8,Old(er) Kitchen,1,,Total Points,107.7
2,Show Me Your TDs,2,Christian McCaffrey,RB,24.799999999999997
2,Show Me Your TDs,2,Dalvin Cook,RB,17.1
